TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
Samsung Galaxy A12 64 Gb  Negro 4 Gb Ram;50.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1317810083-samsung-galaxy-a12-64-gb-negro-4-gb-ram-_JM#position=38&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12 ;50.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1200761505-celular-samsung-galaxy-a12-_JM#position=39&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12;55.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1308751473-samsung-galaxy-a12-_JM#position=28&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung A12 64 Gb Liberado;55.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1341296067-samsung-a12-64-gb-liberado-_JM#position=36&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12;55.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1308751473-samsung-galaxy-a12-_JM#position=28&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung A12 64 Gb Liberado;55.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1341296067-samsung-a12-64-gb-liberado-_JM#position=36&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung A12s 128 Gigas. 4 Gigas Ram. Inmaculado;55.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1323552299-celular-samsung-a12s-128-gigas-4-gigas-ram-inmaculado-_JM#position=24&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung A12s 128 Gigas. 4 Gigas Ram. Inmaculado;55.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1323552299-celular-samsung-a12s-128-gigas-4-gigas-ram-inmaculado-_JM#position=24&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 4gb Ram 128gb Memoria Excelente Estado;57.499;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1333515061-samsung-galaxy-a12-4gb-ram-128gb-memoria-excelente-estado-_JM#position=42&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 4gb Ram 128gb Memoria Excelente Estado;57.499;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1333515061-samsung-galaxy-a12-4gb-ram-128gb-memoria-excelente-estado-_JM#position=42&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
