TITULO;PRECIO;ENVIO;ESTADO;LINK
"Notebook Dell Inspiron 3501 negra 15.55"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1366x768px Linux Ubuntu";$219.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-inspiron-3501-negra-1555-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-60-hz-1366x768px-linux-ubuntu/p/MLA18383698?pdp_filters=category:MLA1652#searchVariation=MLA18383698&position=36&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook I5 8gb Intel Core 11va 512ssd Huawei Matebook D14;$229.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1321871720-notebook-i5-8gb-intel-core-11va-512ssd-huawei-matebook-d14-_JM#position=45&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo Ideapad I7 1165g7 8gb 512gb Pantalla 14  Full Hd Windows 11 Home;$229.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-i7-1165g7-8gb-512gb-pantalla-14-full-hd-windows-11-home/p/MLA21667893?pdp_filters=category:MLA1652#searchVariation=MLA21667893&position=1&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Lenovo Intel I7 1165g7 8gb 512gb Full Hd Windows 11;$229.999;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1329092695-notebook-lenovo-intel-i7-1165g7-8gb-512gb-full-hd-windows-11-_JM#position=41&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook I5 8gb Intel Core 11va 512ssd Huawei Matebook D14;$229.999;Envío gratis;Nuevo;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=gKwZd0bJ581k6eAZhRccaw77SZHLcYMbeFjzHg%2FZG1zKN4afQLv8tvZGIyvMNi%2B4%2Fl7eLfHbLYmY7LIA3r6%2B2%2B4QoJGGeZzYvnVx7HiPGRglxWulUwtRoFZm8r%2FAYWc3wyFiO6DHGYOXmIwvjHthyZLkHO4BmfLJuwhIrz8NQpC25QLYcOHhhUlcZgiAbRACGjXnTRpXam7URE8MkjwfvCZ5bUvUaE6vyQQZOrDHPiRWtueMD%2BWqV0g1qsVhfe9QwFnoBPZyEQq7Suvzc5sChjJtNOr7Z4J7dLBZt5PnssMuVFzHH46sZQBIhdl5A33S4ZksHyDaxrwYe9OVbhbtxCz5qmQGTdmJs1o1V016L75efk3u6%2FkfuKM3KHQNazGOVBayRtIB03bYGL5OPxLHD6IWvVM2GWaXOy6%2FIQgqMeUsoKYzcGZ%2Bo%2F3kQnP12fk3I25eQIXvWaqDBYJLaiO6z6MMazP3ibV47nfBI1yFLiE9cTLqWgQCUJET4s22IZdzhdWGNdjNvCAFAqqfC0CZkp7Chd%2Bf9tzplVIlnlZTL1Cs8uwnsM7Rk4Zrnw5ScdTj2qqeI7arZ1%2FnHSH0nyjkLZoX6okRJ1wybwh8jOu6flVSAhfvvshJOJLwj4xnLu2yEiGaJkaExz2LecWUQVR6gU6PK8lQ5qdQv244zZbMWYHQNP46u8WD%2BawYSNyx8xaQJzm%2F8CzRJ1y4BatPpy91qQ%3D%3D&rb=x
"Notebook Banghó Max L5 i7 gris oscura 15.6"", Intel Core i7 10510U  8GB de RAM 480GB SSD, Intel Graphics UHD 620 1366x768px Windows 10 Home";$235.989;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-bangho-max-l5-i7-gris-oscura-156-intel-core-i7-10510u-8gb-de-ram-480gb-ssd-intel-graphics-uhd-620-1366x768px-windows-10-home/p/MLA18259066?pdp_filters=category:MLA1652#searchVariation=MLA18259066&position=23&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Asus Vivobook 15 X1502 azul 15.6"", Intel Core i5 1240P  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs Windows 11 Home";$239.428;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-asus-vivobook-15-x1502-azul-156-intel-core-i5-1240p-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-windows-11-home/p/MLA19710772?pdp_filters=category:MLA1652#searchVariation=MLA19710772&position=12&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
"Notebook Dell Inspiron 3515 plateada 15.5"", AMD Ryzen 5 3450U  16GB de RAM 1TB HDD 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 11 Home";$239.999;Envío gratis;Nuevo;https://www.mercadolibre.com.ar/notebook-dell-inspiron-3515-plateada-155-amd-ryzen-5-3450u-16gb-de-ram-1tb-hdd-256gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-1366x768px-windows-11-home/p/MLA19472483?pdp_filters=category:MLA1652#searchVariation=MLA19472483&position=13&search_layout=stack&type=product&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus Vivobook 15 M1502ia-bq146w Ryzen 5 8gb 512gb;$254.299;Envío gratis;Nuevo;https://articulo.mercadolibre.com.ar/MLA-1280840369-notebook-asus-vivobook-15-m1502ia-bq146w-ryzen-5-8gb-512gb-_JM#position=55&search_layout=stack&type=item&tracking_id=d0417687-203b-4dbb-98da-5a988a6d848f
Notebook Asus X515ea Core I5 Ram 8gb Ssd 256gb W11;$254.929;Envío gratis;Nuevo;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=skegPOyTOIZoAZ%2B7FM%2B4Xu7E%2BCqan18psR%2BSdL2q3ClcBm7%2B53DNZm1F3FRKMTSuHo54WKEhPspbD1jux6f63gziAY5ctXlq%2Fg9%2B0a5u6jNGMgJ7YDzIpjyksEUvfmAD7mo8d3yclFSTsrwNRYBS6Zx8TiDptgqJ%2B6slPLAhn8U960wH%2FhK006sgaX26gS84fr1aFIvT9rq8UlsXjoIdiyFvNbaUasffhDfKHF5943SE3xs6cpFlvSp5Hl7FXLLgsq493RsxUijZXHZJ226OfjSM06Wf3RXcsNUF%2FiQg7OPgSffkq2zDkXydVUrnuDfJ0DPw0pkklfVO%2FDGvKhlKh6l68rzvnhvtmNZkTzDVjlvrOLZ3%2BH1GXJljjDSB2tO5inF6oHy9vrVtfz%2BnB9DCcznY0AHjBaR%2BD%2BpwTwpLOFN%2Bg4bKUpXJQtvYaBO8FSx91b0UtLqzGlaU%2Bjt%2FUQIXLAZ%2B7bmPwV6HUSPpzkmTd%2F42koppBD6lpqOjsWPCjfV%2BZ51evS3hBsza7NYFtw0blrFhdcLHEGG8gTeMYmIw7vLhtUP4zVZGEFCntObcj%2FhqTd%2Bx7rAs6TdiTL4lla5IglMLrGPdoUW2sazbVKIJSWy7BImKcHZ8ZehRwnZOrMJWhjcDJJsP4rSTPApR2ZIQB%2FXGHIpada5mwYmr%2FkLZUC7uoTnXtj%2BrJ%2Br52BiYZTaD99DDo2LLJbaz&rb=x
